cust_id,judicial_reason
429,"Reason_20(3),Reason_22(1),Reason_7(1)"
460,Reason_7(2)
574,Reason_7(1)
697,"Reason_7(1),Reason_20(1)"
1616,"Reason_20(2),Reason_7(1)"
1641,"Reason_7(4),Reason_19(1)"
2118,"Reason_7(51),Reason_20(19),Reason_19(5)"
2283,"Reason_7(3),Reason_20(2),Reason_14(1),Reason_19(1)"
2317,"Reason_7(2),Reason_1(1)"
3707,"Reason_7(2),Reason_22(1),Reason_14(1),Reason_20(1)"
3768,"Reason_7(4),Reason_22(1)"
4239,"Reason_22(3),Reason_0(1)"
4408,Reason_7(4)
4444,Reason_7(1)
5098,Reason_9(1)
5785,Reason_7(2)
5957,Reason_7(3)
5993,Reason_11(1)
6415,"Reason_22(2),Reason_7(2),Reason_20(2),Reason_19(1)"
6756,"Reason_7(6),Reason_20(5)"
6799,Reason_7(1)
6836,Reason_7(1)
7000,"Reason_7(2),Reason_20(2),Reason_26(1),Reason_2(1)"
7013,"Reason_7(2),Reason_19(2)"
7466,Reason_7(3)
7485,Reason_7(2)
7547,"Reason_7(4),Reason_19(2),Reason_20(1)"
7595,"Reason_9(2),Reason_7(1)"
7991,"Reason_7(2),Reason_20(2)"
8042,Reason_7(5)
8096,"Reason_7(1),Reason_20(1)"
8098,"Reason_7(2),Reason_26(1),Reason_20(1)"
8412,Reason_26(1)
8546,Reason_9(1)
8867,"Reason_20(17),Reason_7(16)"
8923,Reason_26(2)
9949,"Reason_7(1),Reason_20(1)"
10049,"Reason_7(2),Reason_20(1)"
10100,Reason_26(1)
10167,Reason_7(1)
10212,Reason_7(1)
10265,"Reason_7(4),Reason_19(1)"
10434,"Reason_7(1),Reason_20(1)"
10518,Reason_7(1)
10564,"Reason_7(1),Reason_19(1)"
10626,"Reason_7(2),Reason_20(1)"
10721,Reason_20(1)
10884,"Reason_7(15),Reason_20(10),Reason_21(1)"
10963,Reason_7(1)
11079,Reason_4(1)
11134,"Reason_7(9),Reason_20(4),Reason_19(4),Reason_20(2)"
11252,Reason_7(1)
11352,"Reason_7(1),Reason_20(1)"
11631,"Reason_7(1),Reason_19(1)"
11713,"Reason_7(7),Reason_20(1),Reason_19(1)"
11786,"Reason_26(36),Reason_14(4),Reason_19(1)"
11828,"Reason_7(1),Reason_20(1)"
11866,"Reason_26(2),Reason_19(2)"
12078,"Reason_26(3),Reason_3(1),Reason_7(1),Reason_20(1)"
12151,Reason_22(1)
12519,Reason_26(2)
12761,"Reason_7(15),Reason_20(4),Reason_1(2),Reason_26(1)"
12809,"Reason_20(2),Reason_7(1)"
12849,"Reason_7(1),Reason_20(1)"
12861,Reason_19(2)
12943,"Reason_7(2),Reason_20(1)"
13043,Reason_22(1)
13087,Reason_9(1)
13155,"Reason_20(4),Reason_7(3)"
13309,"Reason_7(2),Reason_9(1),Reason_19(1)"
13586,"Reason_7(3),Reason_20(1),Reason_2(1)"
13779,"Reason_7(2),Reason_9(1)"
13958,Reason_7(2)
14214,"Reason_26(1),Reason_20(1)"
14624,Reason_22(1)
14931,"Reason_7(5),Reason_20(4),Reason_19(3),Reason_6(2),Reason_22(1)"
15269,Reason_7(1)
15458,"Reason_7(6),Reason_19(4),Reason_20(2),Reason_2(1)"
15704,Reason_7(5)
15934,Reason_22(1)
16017,Reason_7(2)
16023,"Reason_20(2),Reason_7(1)"
16360,Reason_7(1)
16379,Reason_7(1)
16644,"Reason_7(4),Reason_4(1),Reason_20(1)"
16937,"Reason_9(2),Reason_7(1),Reason_19(1)"
17355,Reason_7(1)
17408,"Reason_7(2),Reason_19(1)"
17711,"Reason_7(1),Reason_19(1)"
17730,"Reason_22(1),Reason_20(1)"
17907,"Reason_7(33),Reason_22(12),Reason_20(12),Reason_2(1),Reason_20(1)"
18167,"Reason_20(2),Reason_7(1)"
18180,Reason_9(3)
18320,"Reason_7(7),Reason_20(3)"
19422,"Reason_20(6),Reason_7(5),Reason_2(1)"
19442,Reason_22(3)
19591,Reason_7(1)
19679,Reason_9(1)
20295,"Reason_22(4),Reason_20(3),Reason_19(2),Reason_0(2)"
20411,Reason_7(1)
20538,Reason_7(1)
20775,"Reason_20(2),Reason_7(1)"
21165,Reason_7(1)
21230,Reason_26(1)
21518,Reason_9(1)
21758,"Reason_7(2),Reason_20(2),Reason_19(1)"
22012,Reason_7(1)
22085,"Reason_7(5),Reason_26(2),Reason_20(2)"
22204,Reason_7(1)
22301,"Reason_7(1),Reason_20(1)"
22424,"Reason_7(1),Reason_20(1)"
22441,"Reason_7(4),Reason_20(1)"
23009,"Reason_7(6),Reason_26(1)"
23103,"Reason_20(2),Reason_7(1),Reason_2(1)"
23199,"Reason_7(4),Reason_20(4)"
23244,"Reason_7(2),Reason_19(1)"
23368,"Reason_7(1),Reason_19(1)"
23512,"Reason_7(10),Reason_20(2)"
24000,Reason_7(1)
24229,"Reason_7(1),Reason_20(1),Reason_2(1)"
24387,Reason_9(1)
24875,"Reason_4(17),Reason_7(3),Reason_20(2),Reason_2(2)"
